event,month,day,date_start,date_end,location,time,category
JV Girls Basketball vs Fitchburg,Jan,4,1/4/2023,,Home,4:30 PM,Girls Basketball
V Girls Basketball vs Fitchburg,Jan,4,1/4/2023,,Home,6:00 PM,Girls Basketball
JV Boys Basketball vs Monty Tech,Jan,6,1/6/2023,,Home,5:00 PM,Boys Basketball
V Boys Basketball vs Monty Tech,Jan,6,1/6/2023,,Home,6:30 PM,Boys Basketball
JV Girls Basketball vs Monty Tech,Jan,6,1/6/2023,,Away,5:30 PM,Girls Basketball
V Girls Basketball vs Monty Tech,Jan,6,1/6/2023,,Away,7:00 PM,Girls Basketball
Indoor Track Inter High Meet,Jan,7,1/7/2023,,Northbridge,9am-12pm,Indoor Track
JV Boys Basketball vs Assabet,Jan,9,1/9/2023,,Away,5:00 PM,Boys Basketball
V Boys Basketball vs Assabet,Jan,9,1/9/2023,,Away,6:30 PM,Boys Basketball
JV Girls Basketball vs Assabet,Jan,9,1/9/2023,,Home,4:30 PM,Girls Basketball
V Girls Basketball vs Assabet,Jan,9,1/9/2023,,Home,6:00 PM,Girls Basketball
JV Boys Basketball vs Baypath,Jan,13,1/13/2023,,Away,5:00 PM,Boys Basketball
V Boys Basketball vs Baypath,Jan,13,1/13/2023,,Away,6:30 PM,Boys Basketball
JV Girls Basketball vs Baypath,Jan,13,1/13/2023,,Home,4:30 PM,Girls Basketball
V Girls Basketball vs Baypath,Jan,13,1/13/2023,,Home,6:00 PM,Girls Basketball
Indoor Track Northeast Invitational,Jan,13,1/13/2023,,Reggie Lewis ,10am-4pm,Indoor Track
Indoor Track Inter High Meet,Jan,14,1/14/2023,,Northbridge,9am-12pm,Indoor Track
Indoor Track Northeast Invitational,Jan,15,1/15/2023,,Reggie Lewis,10am-4pm,Indoor Track
Martin Luther King Jr. Day,Jan,16,1/16/2023,,No school,,Event
JV Boys Basketball vs Parker,Jan,17,1/17/2023,,Home,5:00 PM,Boys Basketball
V Boys Basketball vs Parker,Jan,17,1/17/2023,,Home,6:30 PM,Boys Basketball
JV Girls Basketball vs Parker,Jan,17,1/17/2023,,Away,5:00 PM,Girls Basketball
