event,month,day,date,location,time,category
JV Boys Basketball vs Monty Tech,Jan,6,1/6,Home,5pm,Boys Basketball
V Boys Basketball vs Monty Tech,Jan,6,1/6,Home,6:30pm,Boys Basketball
JV Boys Basketball vs Assabet,Jan,9,1/9,Away,5pm,Boys Basketball
V Boys Basketball vs Assabet,Jan,9,1/9,Away,6:30pm,Boys Basketball
JV Boys Basketball vs Baypath,Jan,13,1/13,Away,5pm,Boys Basketball
V Boys Basketball vs Baypath,Jan,13,1/13,Away,6:30pm,Boys Basketball
JV Boys Basketball vs Parker,Jan,17,1/17,Home,5pm,Boys Basketball
V Boys Basketball vs Parker,Jan,17,1/17,Home,6:30pm,Boys Basketball
JV Boys Basketball vs Abby Kelley,Jan,20,1/20,Away,5pm,Boys Basketball
V Boys Basketball vs Abby Kelley,Jan,20,1/20,Away,6:30pm,Boys Basketball
JV Boys Basketball vs BVT,Jan,24,1/24,Home,5pm,Boys Basketball
V Boys Basketball vs BVT,Jan,24,1/24,Home,6:30pm,Boys Basketball
JV Boys Basketball vs AMSA,Jan,27,1/27,Home,5pm,Boys Basketball
V Boys Basketball vs AMSA,Jan,27,1/27,Home,6:30pm,Boys Basketball
JV Boys Basketball vs Keefe Tech,Jan,31,1/31,Away,5pm,Boys Basketball
V Boys Basketball vs Keefe Tech,Jan,31,1/31,Away,6:30pm,Boys Basketball
JV Boys Basketball vs Auburn,Feb,3,2/3,Home,5pm,Boys Basketball
V Boys Basketball vs Auburn,Feb,3,2/3,Home,6:30pm,Boys Basketball
JV Boys Basketball vs Leicister,Feb,6,2/6,Away,5pm,Boys Basketball
V Boys Basketball vs Leicester,Feb,6,2/6,Away,6:30pm,Boys Basketball
JV Boys Basketball vs AMSA,Feb,15,2/15,Away,3:30pm,Boys Basketball
V Boys Basketball vs AMSA,Feb,15,2/15,Away,5pm,Boys Basketball
JV Boys Basketball vs Burncoat,Feb,17,2/17,Home,5pm,Boys Basketball
V Boys Basketball vs Burncoat,Feb,17,2/17,Home,6:30pm,Boys Basketball
JV Girls Basketball vs Fitchburg,Jan,4,1/4,Home,4:30pm,Girls Basketball
V Girls Basketball vs Fitchburg,Jan,4,1/4,Home,6pm,Girls Basketball
JV Girls Basketball vs Monty Tech,Jan,6,1/6,Away,5:30pm,Girls Basketball
V Girls Basketball vs Monty Tech,Jan,6,1/6,Away,7pm,Girls Basketball
JV Girls Basketball vs Assabet,Jan,9,1/9,Home,4:30pm,Girls Basketball
V Girls Basketball vs Assabet,Jan,9,1/9,Home,6pm,Girls Basketball
JV Girls Basketball vs Baypath,Jan,13,1/13,Home,4:30pm,Girls Basketball
V Girls Basketball vs Baypath,Jan,13,1/13,Home,6pm,Girls Basketball
JV Girls Basketball vs Parker,Jan,17,1/17,Away,5pm,Girls Basketball
V Girls Basketball vs Parker,Jan,17,1/17,Away,6:30pm,Girls Basketball
JV Girls Basketball vs Abby Kelley,Jan,20,1/20,Home,4:30pm,Girls Basketball
V Girls Basketball vs Abby Kelley,Jan,20,1/20,Home,6pm,Girls Basketball
JV Girls Basketball vs BVT,Jan,24,1/24,Away,5pm,Girls Basketball
V Girls Basketball vs BVT,Jan,24,1/24,Away,6:30pm,Girls Basketball
JV Girls Basketball vs AMSA,Jan,27,1/27,Away,3:30pm,Girls Basketball
V Girls Basketball vs AMSA,Jan,27,1/27,Away,5pm,Girls Basketball
JV Girls Basketball vs Grafton,Jan,31,1/31,Away,5pm,Girls Basketball
V Girls Basketball vs Grafton,Jan,31,1/31,Away,6:30pm,Girls Basketball
JV Girls Basketball vs Quabbin,Feb,2,2/2,Home,4:30pm,Girls Basketball
V Girls Basketball vs Quabbin,Feb,2,2/2,Home,6pm,Girls Basketball
JV Girls Basketball vs St Bernard's,Feb,7,2/7,Away,5pm,Girls Basketball
V Girls Basketball vs St Bernard's,Feb,7,2/7,Away,6:30pm,Girls Basketball
JV Girls Basketball vs Main South,Feb,10,2/10,Home,4:30pm,Girls Basketball
V Girls Basketball vs Main South,Feb,10,2/10,Home,6pm,Girls Basketball
JV Girls Basketball vs Ayer Shirley,Feb,15,2/15,Away,5:30pm,Girls Basketball
V Girls Basketball vs Ayer Shirley,Feb,15,2/15,Away,7pm,Girls Basketball
JV Girls Basketball vs North,Feb,17,2/17,Away,4pm,Girls Basketball
V Girls Basketball vs North,Feb,17,2/17,Away,5:30pm,Girls Basketball
